days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39999,1,0,0
2,39999,1,0,0
3,39999,1,0,0
4,39999,1,0,0
5,39999,1,0,0
6,39999,1,0,0
7,39999,0,1,0
8,39999,0,1,0
9,39999,0,1,0
10,39999,0,1,0
11,39999,0,1,0
12,39999,0,1,0
13,39999,0,1,0
14,39999,0,1,0
15,39999,0,1,0
16,39999,0,1,0
17,39999,0,1,0
18,39999,0,1,0
19,39999,0,1,0
20,39999,0,1,0
21,39999,0,1,0
22,39999,0,1,0
23,39999,0,1,0
24,39999,0,1,0
25,39999,0,1,0
26,39999,0,1,0
27,39999,0,1,0
28,39999,0,1,0
29,39999,0,1,0
30,39999,0,1,0
31,39999,0,1,0
32,39999,0,1,0
33,39999,0,1,0
34,39999,0,1,0
35,39999,0,1,0
36,39999,0,1,0
37,39999,0,1,0
38,39999,0,1,0
39,39999,0,1,0
40,39999,0,1,0
