days,Susceptible,Infected,Recovered,Vaccinated
0,39999,1,0,0
1,39997,3,0,0
2,39993,7,0,0
3,39981,19,0,0
4,39957,43,0,0
5,39905,95,0,0
6,39814,186,0,0
7,39616,383,1,0
8,39237,760,3,0
9,38555,1438,7,0
10,37210,2771,19,0
11,34644,5313,43,0
12,30327,9578,95,0
13,23990,15824,186,0
14,16267,23349,384,0
15,9056,30181,763,0
16,4242,34313,1445,0
17,1782,35428,2790,0
18,749,33895,5356,0
19,309,30018,9673,0
20,149,23841,16010,0
21,69,16198,23733,0
22,48,9008,30944,0
23,34,4208,35758,0
24,29,1753,38218,0
25,27,722,39251,0
26,27,282,39691,0
27,27,122,39851,0
28,26,43,39931,0
29,26,22,39952,0
30,26,8,39966,0
31,26,3,39971,0
32,26,1,39973,0
33,26,1,39973,0
34,26,1,39973,0
35,26,0,39974,0
36,26,0,39974,0
37,26,0,39974,0
38,26,0,39974,0
39,26,0,39974,0
40,26,0,39974,0
41,26,0,39974,0
42,26,0,39974,0
43,26,0,39974,0
44,26,0,39974,0
45,26,0,39974,0
46,26,0,39974,0
47,26,0,39974,0
48,26,0,39974,0
49,26,0,39974,0
50,26,0,39974,0
51,26,0,39974,0
52,26,0,39974,0
53,26,0,39974,0
54,26,0,39974,0
55,26,0,39974,0
56,26,0,39974,0
57,26,0,39974,0
58,26,0,39974,0
59,26,0,39974,0
60,26,0,39974,0
61,26,0,39974,0
62,26,0,39974,0
63,26,0,39974,0
64,26,0,39974,0
65,26,0,39974,0
66,26,0,39974,0
67,26,0,39974,0
68,26,0,39974,0
69,26,0,39974,0
70,26,0,39974,0
71,26,0,39974,0
72,26,0,39974,0
73,26,0,39974,0
74,26,0,39974,0
75,26,0,39974,0
76,26,0,39974,0
77,26,0,39974,0
78,26,0,39974,0
79,26,0,39974,0
80,26,0,39974,0
81,26,0,39974,0
82,26,0,39974,0
83,26,0,39974,0
84,26,0,39974,0
85,26,0,39974,0
86,26,0,39974,0
87,26,0,39974,0
88,26,0,39974,0
89,26,0,39974,0
90,26,0,39974,0
91,26,0,39974,0
92,26,0,39974,0
93,26,0,39974,0
94,26,0,39974,0
95,26,0,39974,0
96,26,0,39974,0
97,26,0,39974,0
98,26,0,39974,0
99,26,0,39974,0
100,26,0,39974,0
