days,Susceptible,Infected,Recovered,Vaccinated
0,3999,1,0,36000
1,3999,1,0,36000
2,3999,1,0,36000
3,3999,1,0,36000
4,3999,1,0,36000
5,3999,1,0,36000
6,3998,2,0,36000
7,3998,1,1,36000
8,3998,1,1,36000
9,3998,1,1,36000
10,3998,1,1,36000
11,3998,1,1,36000
12,3998,1,1,36000
13,3998,0,2,36000
14,3998,0,2,36000
15,3998,0,2,36000
16,3998,0,2,36000
17,3998,0,2,36000
18,3998,0,2,36000
19,3998,0,2,36000
20,3998,0,2,36000
21,3998,0,2,36000
22,3998,0,2,36000
23,3998,0,2,36000
24,3998,0,2,36000
25,3998,0,2,36000
26,3998,0,2,36000
27,3998,0,2,36000
28,3998,0,2,36000
29,3998,0,2,36000
30,3998,0,2,36000
31,3998,0,2,36000
32,3998,0,2,36000
33,3998,0,2,36000
34,3998,0,2,36000
35,3998,0,2,36000
36,3998,0,2,36000
37,3998,0,2,36000
38,3998,0,2,36000
39,3998,0,2,36000
40,3998,0,2,36000
41,3998,0,2,36000
42,3998,0,2,36000
43,3998,0,2,36000
44,3998,0,2,36000
45,3998,0,2,36000
46,3998,0,2,36000
47,3998,0,2,36000
48,3998,0,2,36000
49,3998,0,2,36000
50,3998,0,2,36000
51,3998,0,2,36000
52,3998,0,2,36000
53,3998,0,2,36000
54,3998,0,2,36000
55,3998,0,2,36000
56,3998,0,2,36000
57,3998,0,2,36000
58,3998,0,2,36000
59,3998,0,2,36000
60,3998,0,2,36000
61,3998,0,2,36000
62,3998,0,2,36000
63,3998,0,2,36000
64,3998,0,2,36000
65,3998,0,2,36000
66,3998,0,2,36000
67,3998,0,2,36000
68,3998,0,2,36000
69,3998,0,2,36000
70,3998,0,2,36000
71,3998,0,2,36000
72,3998,0,2,36000
73,3998,0,2,36000
74,3998,0,2,36000
75,3998,0,2,36000
76,3998,0,2,36000
77,3998,0,2,36000
78,3998,0,2,36000
79,3998,0,2,36000
80,3998,0,2,36000
81,3998,0,2,36000
82,3998,0,2,36000
83,3998,0,2,36000
84,3998,0,2,36000
85,3998,0,2,36000
86,3998,0,2,36000
87,3998,0,2,36000
88,3998,0,2,36000
89,3998,0,2,36000
90,3998,0,2,36000
91,3998,0,2,36000
92,3998,0,2,36000
93,3998,0,2,36000
94,3998,0,2,36000
95,3998,0,2,36000
96,3998,0,2,36000
97,3998,0,2,36000
98,3998,0,2,36000
99,3998,0,2,36000
100,3998,0,2,36000
101,3998,0,2,36000
102,3998,0,2,36000
103,3998,0,2,36000
104,3998,0,2,36000
105,3998,0,2,36000
106,3998,0,2,36000
107,3998,0,2,36000
108,3998,0,2,36000
109,3998,0,2,36000
110,3998,0,2,36000
111,3998,0,2,36000
112,3998,0,2,36000
113,3998,0,2,36000
114,3998,0,2,36000
115,3998,0,2,36000
116,3998,0,2,36000
117,3998,0,2,36000
118,3998,0,2,36000
119,3998,0,2,36000
120,3998,0,2,36000
121,3998,0,2,36000
122,3998,0,2,36000
123,3998,0,2,36000
124,3998,0,2,36000
125,3998,0,2,36000
126,3998,0,2,36000
127,3998,0,2,36000
128,3998,0,2,36000
129,3998,0,2,36000
130,3998,0,2,36000
131,3998,0,2,36000
132,3998,0,2,36000
133,3998,0,2,36000
134,3998,0,2,36000
135,3998,0,2,36000
136,3998,0,2,36000
137,3998,0,2,36000
138,3998,0,2,36000
139,3998,0,2,36000
140,3998,0,2,36000
141,3998,0,2,36000
142,3998,0,2,36000
143,3998,0,2,36000
144,3998,0,2,36000
145,3998,0,2,36000
146,3998,0,2,36000
147,3998,0,2,36000
148,3998,0,2,36000
149,3998,0,2,36000
150,3998,0,2,36000
151,3998,0,2,36000
152,3998,0,2,36000
153,3998,0,2,36000
154,3998,0,2,36000
155,3998,0,2,36000
156,3998,0,2,36000
157,3998,0,2,36000
158,3998,0,2,36000
159,3998,0,2,36000
160,3998,0,2,36000
161,3998,0,2,36000
162,3998,0,2,36000
163,3998,0,2,36000
164,3998,0,2,36000
165,3998,0,2,36000
166,3998,0,2,36000
167,3998,0,2,36000
168,3998,0,2,36000
169,3998,0,2,36000
170,3998,0,2,36000
171,3998,0,2,36000
172,3998,0,2,36000
173,3998,0,2,36000
174,3998,0,2,36000
175,3998,0,2,36000
176,3998,0,2,36000
177,3998,0,2,36000
178,3998,0,2,36000
179,3998,0,2,36000
180,3998,0,2,36000
181,3998,0,2,36000
182,3998,0,2,36000
183,3998,0,2,36000
184,3998,0,2,36000
185,3998,0,2,36000
186,3998,0,2,36000
187,3998,0,2,36000
188,3998,0,2,36000
189,3998,0,2,36000
190,3998,0,2,36000
191,3998,0,2,36000
192,3998,0,2,36000
193,3998,0,2,36000
194,3998,0,2,36000
195,3998,0,2,36000
196,3998,0,2,36000
197,3998,0,2,36000
198,3998,0,2,36000
199,3998,0,2,36000
200,3998,0,2,36000
201,3998,0,2,36000
202,3998,0,2,36000
203,3998,0,2,36000
204,3998,0,2,36000
205,3998,0,2,36000
206,3998,0,2,36000
207,3998,0,2,36000
208,3998,0,2,36000
209,3998,0,2,36000
210,3998,0,2,36000
211,3998,0,2,36000
212,3998,0,2,36000
213,3998,0,2,36000
214,3998,0,2,36000
215,3998,0,2,36000
216,3998,0,2,36000
217,3998,0,2,36000
218,3998,0,2,36000
219,3998,0,2,36000
220,3998,0,2,36000
221,3998,0,2,36000
222,3998,0,2,36000
223,3998,0,2,36000
224,3998,0,2,36000
225,3998,0,2,36000
226,3998,0,2,36000
227,3998,0,2,36000
228,3998,0,2,36000
229,3998,0,2,36000
230,3998,0,2,36000
231,3998,0,2,36000
232,3998,0,2,36000
233,3998,0,2,36000
234,3998,0,2,36000
235,3998,0,2,36000
236,3998,0,2,36000
237,3998,0,2,36000
238,3998,0,2,36000
239,3998,0,2,36000
240,3998,0,2,36000
241,3998,0,2,36000
242,3998,0,2,36000
243,3998,0,2,36000
244,3998,0,2,36000
245,3998,0,2,36000
246,3998,0,2,36000
247,3998,0,2,36000
248,3998,0,2,36000
249,3998,0,2,36000
250,3998,0,2,36000
251,3998,0,2,36000
252,3998,0,2,36000
253,3998,0,2,36000
254,3998,0,2,36000
255,3998,0,2,36000
256,3998,0,2,36000
257,3998,0,2,36000
258,3998,0,2,36000
259,3998,0,2,36000
260,3998,0,2,36000
261,3998,0,2,36000
262,3998,0,2,36000
263,3998,0,2,36000
264,3998,0,2,36000
265,3998,0,2,36000
266,3998,0,2,36000
267,3998,0,2,36000
268,3998,0,2,36000
269,3998,0,2,36000
270,3998,0,2,36000
271,3998,0,2,36000
272,3998,0,2,36000
273,3998,0,2,36000
274,3998,0,2,36000
275,3998,0,2,36000
276,3998,0,2,36000
277,3998,0,2,36000
278,3998,0,2,36000
279,3998,0,2,36000
280,3998,0,2,36000
281,3998,0,2,36000
282,3998,0,2,36000
283,3998,0,2,36000
284,3998,0,2,36000
285,3998,0,2,36000
286,3998,0,2,36000
287,3998,0,2,36000
288,3998,0,2,36000
289,3998,0,2,36000
290,3998,0,2,36000
291,3998,0,2,36000
292,3998,0,2,36000
293,3998,0,2,36000
294,3998,0,2,36000
295,3998,0,2,36000
296,3998,0,2,36000
297,3998,0,2,36000
298,3998,0,2,36000
299,3998,0,2,36000
300,3998,0,2,36000
301,3998,0,2,36000
302,3998,0,2,36000
303,3998,0,2,36000
304,3998,0,2,36000
305,3998,0,2,36000
306,3998,0,2,36000
307,3998,0,2,36000
308,3998,0,2,36000
309,3998,0,2,36000
310,3998,0,2,36000
311,3998,0,2,36000
312,3998,0,2,36000
313,3998,0,2,36000
314,3998,0,2,36000
315,3998,0,2,36000
316,3998,0,2,36000
317,3998,0,2,36000
318,3998,0,2,36000
319,3998,0,2,36000
320,3998,0,2,36000
321,3998,0,2,36000
322,3998,0,2,36000
323,3998,0,2,36000
324,3998,0,2,36000
325,3998,0,2,36000
326,3998,0,2,36000
327,3998,0,2,36000
328,3998,0,2,36000
329,3998,0,2,36000
330,3998,0,2,36000
331,3998,0,2,36000
332,3998,0,2,36000
333,3998,0,2,36000
334,3998,0,2,36000
335,3998,0,2,36000
336,3998,0,2,36000
337,3998,0,2,36000
338,3998,0,2,36000
339,3998,0,2,36000
340,3998,0,2,36000
341,3998,0,2,36000
342,3998,0,2,36000
343,3998,0,2,36000
344,3998,0,2,36000
345,3998,0,2,36000
346,3998,0,2,36000
347,3998,0,2,36000
348,3998,0,2,36000
349,3998,0,2,36000
350,3998,0,2,36000
351,3998,0,2,36000
352,3998,0,2,36000
353,3998,0,2,36000
354,3998,0,2,36000
355,3998,0,2,36000
356,3998,0,2,36000
357,3998,0,2,36000
358,3998,0,2,36000
359,3998,0,2,36000
360,3998,0,2,36000
361,3998,0,2,36000
362,3998,0,2,36000
363,3998,0,2,36000
364,3998,0,2,36000
365,3998,0,2,36000
366,3998,0,2,36000
367,3998,0,2,36000
368,3998,0,2,36000
369,3998,0,2,36000
370,3998,0,2,36000
371,3998,0,2,36000
372,3998,0,2,36000
373,3998,0,2,36000
374,3998,0,2,36000
375,3998,0,2,36000
376,3998,0,2,36000
377,3998,0,2,36000
378,3998,0,2,36000
379,3998,0,2,36000
380,3998,0,2,36000
381,3998,0,2,36000
382,3998,0,2,36000
383,3998,0,2,36000
384,3998,0,2,36000
385,3998,0,2,36000
386,3998,0,2,36000
387,3998,0,2,36000
388,3998,0,2,36000
389,3998,0,2,36000
390,3998,0,2,36000
391,3998,0,2,36000
392,3998,0,2,36000
393,3998,0,2,36000
394,3998,0,2,36000
395,3998,0,2,36000
396,3998,0,2,36000
397,3998,0,2,36000
398,3998,0,2,36000
399,3998,0,2,36000
400,3998,0,2,36000
401,3998,0,2,36000
402,3998,0,2,36000
403,3998,0,2,36000
404,3998,0,2,36000
405,3998,0,2,36000
406,3998,0,2,36000
407,3998,0,2,36000
408,3998,0,2,36000
409,3998,0,2,36000
410,3998,0,2,36000
411,3998,0,2,36000
412,3998,0,2,36000
413,3998,0,2,36000
414,3998,0,2,36000
415,3998,0,2,36000
416,3998,0,2,36000
417,3998,0,2,36000
418,3998,0,2,36000
419,3998,0,2,36000
420,3998,0,2,36000
421,3998,0,2,36000
422,3998,0,2,36000
423,3998,0,2,36000
424,3998,0,2,36000
425,3998,0,2,36000
426,3998,0,2,36000
427,3998,0,2,36000
428,3998,0,2,36000
429,3998,0,2,36000
430,3998,0,2,36000
431,3998,0,2,36000
432,3998,0,2,36000
433,3998,0,2,36000
434,3998,0,2,36000
435,3998,0,2,36000
436,3998,0,2,36000
437,3998,0,2,36000
438,3998,0,2,36000
439,3998,0,2,36000
440,3998,0,2,36000
441,3998,0,2,36000
442,3998,0,2,36000
443,3998,0,2,36000
444,3998,0,2,36000
445,3998,0,2,36000
446,3998,0,2,36000
447,3998,0,2,36000
448,3998,0,2,36000
449,3998,0,2,36000
450,3998,0,2,36000
451,3998,0,2,36000
452,3998,0,2,36000
453,3998,0,2,36000
454,3998,0,2,36000
455,3998,0,2,36000
456,3998,0,2,36000
457,3998,0,2,36000
458,3998,0,2,36000
459,3998,0,2,36000
460,3998,0,2,36000
461,3998,0,2,36000
462,3998,0,2,36000
463,3998,0,2,36000
464,3998,0,2,36000
465,3998,0,2,36000
466,3998,0,2,36000
467,3998,0,2,36000
468,3998,0,2,36000
469,3998,0,2,36000
470,3998,0,2,36000
471,3998,0,2,36000
472,3998,0,2,36000
473,3998,0,2,36000
474,3998,0,2,36000
475,3998,0,2,36000
476,3998,0,2,36000
477,3998,0,2,36000
478,3998,0,2,36000
479,3998,0,2,36000
480,3998,0,2,36000
481,3998,0,2,36000
482,3998,0,2,36000
483,3998,0,2,36000
484,3998,0,2,36000
485,3998,0,2,36000
486,3998,0,2,36000
487,3998,0,2,36000
488,3998,0,2,36000
489,3998,0,2,36000
490,3998,0,2,36000
491,3998,0,2,36000
492,3998,0,2,36000
493,3998,0,2,36000
494,3998,0,2,36000
495,3998,0,2,36000
496,3998,0,2,36000
497,3998,0,2,36000
498,3998,0,2,36000
499,3998,0,2,36000
500,3998,0,2,36000
